name,size,time,max_iter
cupy,8192,2.6774407000048086,100
cupy,8192,2.8558347999933176,100
cupy,8192,2.736369799997192,100
cupy,8192,2.854579599981662,100
cupy,8192,5.077354199980618,200
cupy,8192,5.277442199992947,200
cupy,8192,5.2951917000173125,200
cupy,8192,5.339390099979937,200
cupy,8192,5.222717399999965,200
cupy,8192,5.07092910000938,200
cupy,8192,5.243130999995628,200
cupy,8192,5.088601700001163,200
cupy,8192,5.311642299988307,200
cupy,8192,5.295053099980578,200
cupy,8192,8.079430100013269,300
cupy,8192,8.409233000013046,300
cupy,8192,7.89959370001452,300
cupy,8192,8.616785300022457,300
cupy,8192,8.140169799997238,300
cupy,8192,7.487543499999447,300
cupy,8192,8.095660299994051,300
cupy,8192,8.84904239999014,300
cupy,8192,7.8569220999779645,300
cupy,8192,7.9509518000122625,300
cupy,8192,10.134925299993483,400
cupy,8192,10.149840999976732,400
cupy,8192,10.325808499997947,400
cupy,8192,10.412486400018679,400
cupy,8192,10.090960300003644,400
cupy,8192,10.136493499972858,400
cupy,8192,10.232116099999985,400
cupy,8192,10.430286999995587,400
cupy,8192,10.342161200009286,400
cupy,8192,10.383223799988627,400
cupy,8192,12.809539999987464,500
cupy,8192,13.201789799990365,500
cupy,8192,13.438231899985112,500
cupy,8192,11.617714699998032,500
cupy,8192,12.129170199972577,500
cupy,8192,13.15613749998738,500
cupy,8192,13.060754600010114,500
cupy,8192,12.821204200008651,500
cupy,8192,12.645577900024364,500
cupy,8192,13.242191700002877,500
cupy,8192,17.253566900006263,600
cupy,8192,15.255414400016889,600
cupy,8192,14.902537599991774,600
cupy,8192,14.86160609999206,600
cupy,8192,14.852355399983935,600
cupy,8192,14.839964099985082,600
cupy,8192,14.851930300006643,600
cupy,8192,14.875277600018308,600
cupy,8192,14.851327799988212,600
cupy,8192,14.660603500000434,600
cupy,16384,99.81553510000231,100
cupy,16384,416.52157770001213,100
cupy,16384,415.99862399999984,100
cupy,16384,416.6526170000143,100
cupy,16384,416.3695553000143,100
cupy,16384,418.3702063000237,100
cupy,16384,413.68307570001343,100
cupy,16384,413.42643180000596,100
cupy,16384,413.48164760001237,100
cupy,16384,416.3725449999911,100
cupy,16384,733.3548735999793,200
cupy,16384,707.1798787000007,200
cupy,16384,133.43855809999513,200
cupy,16384,133.62751319998642,200
cupy,16384,133.62996949997614,200
